gauge_id,cwc_lat,cwc_lon,ghi_lat,ghi_lon,elev_mean,elev_median,elev_min,elev_max,slope_mean,slope_median,slope_min,slope_max,cwc_area,ghi_area,gauge_elevation,dpsbar
7005,22.0658,85.6733,22.06882,85.67283,590.9151799,573,375,1116,10.35021428,7.101201534,0,96.0451355,1710,1828.7,380,9.848994858
7006,21.4578,84.6917,21.45628,84.68958,322.27286,289,164,773,10.52673699,4.866658211,0,75.05664063,437,474.8,166,9.429408384
7007,21.8378,84.9425,21.83544,84.94374,503.3641351,507,133,1110,7.659350963,4.237790108,0,107.4656448,21950,21758,147,8.17484939
7008,22.3217,85.1047,22.32291,85.10622,544.541241,566,200,1086,7.125890891,3.869321108,0,97.11260223,9160,10541.1,200,7.422285526
7009,20.8897,86.0142,20.88544,86.01461,384.9126669,360,9,1174,7.985951366,3.869321108,0,167.9461365,33955,36130.8,23,7.863350582
7010,20.7472,85.5556,20.74794,85.55624,408.753779,392,23,1174,8.063002996,3.995921135,0,167.9461365,32697,33031.2,42,8.049532185
7011,22.2772,84.8519,22.27709,84.85209,515.0150161,540,176,1086,7.050900336,3.883082867,0,97.11260223,19448,12363.2,181,7.401367762
7012,21.25,85.0417,21.24792,85.04375,468.72701,462,78,1166,8.070301099,4.267059803,0,166.3145447,25250,25487.6,79,8.461940269
7013,21.6167,85.9167,21.61874,85.91874,523.7304942,456,300,1181,7.52178097,3.642068863,0,123.3568726,6345,6499.7,307,8.607263372
7014,20.95,85.25,20.94791,85.24374,428.0896631,413,23,1174,8.191727831,4.153025627,0,167.9461365,29750,30618.8,69,8.270238624
7015,22.6233,84.4175,22.62292,84.41875,732.6605717,746,376,1110,9.142374656,5.472046375,0,84.95570374,3160,3223.2,380,8.557204316
8001,21.8317,81.6058,21.8354,81.60621,430.996363,366,251,971,5.904887197,2.074370861,0,92.06546783,2210,2229.2,259,7.000104175
8002,20.8039,84.6,20.80209,84.59792,281.1961984,267,132,953,10.29382054,4.955361128,0,95.20877075,379,461.9,139,9.113011435
8003,21.8986,82.7117,21.89788,82.71459,485.2424658,478,199,1116,6.57562764,3.818437338,0,138.608902,9730,9859.5,228,7.014097195
8004,22.6,82.5858,22.59794,82.58544,527.833178,511,297,1116,6.660038583,4.174377918,0,138.608902,6730,6761,298,7.297162322
8005,20.9125,81.8861,20.91036,81.8854,470.5572022,440,278,929,5.546611703,3.255381346,0,103.8763199,3225,3238.2,291,6.05922701
8006,21.7267,82.7881,21.72293,82.78959,379.9291056,333,199,1139,4.092633213,1.923137784,0,138.608902,57780,59091.2,210,4.324717682
8007,20.8656,84.3133,20.86458,84.31041,361.0660619,311,77,1321,5.644309767,2.332595587,0,180.815567,123432,123803.8,85,5.358800962
8008,22.4722,83.2181,22.47292,83.21873,636.2197825,598,268,1140,6.515369376,3.415314198,0,107.3956299,2050,1512,280,7.131701108
8009,22.0567,82.2194,22.05624,82.21874,456.0500721,378,234,1139,6.543468399,3.138582945,0,106.1707458,3035,2964.9,255,6.935508597
8010,20.9539,81.2936,20.94793,81.28539,365.4959562,360,287,689,3.081957567,1.789019108,0,56.04483032,1735,1759,300,3.086285949
8011,21.7158,82.3472,21.71457,82.34776,352.6636621,314,216,1139,3.401795323,1.52037394,0,106.1707458,29645,29822.5,217,3.694579047
8012,21.6944,83.2778,21.68958,83.27708,377.1803954,328,177,1147,4.304742013,1.968824387,0,166.9898071,68268,68531.7,201,4.493566693
8013,20.65,83.7222,20.65205,83.72288,388.1384166,299,119,1321,9.372519122,3.211387634,0,180.815567,19600,20374.3,120,8.257787854
8014,22.4919,82.5386,22.49375,82.53958,542.9591411,575,313,1043,10.80275016,6.422775269,0,96.60795593,307,330.1,318,11.82767616
8015,21.8886,83.4,21.88972,83.40208,335.3696219,298,203,760,6.459195136,3.477228165,0,72.15956879,950,1155.7,205,7.033815968
8016,20.2039,83.2231,20.2021,83.22291,372.3421657,296,166,1096,7.953628601,2.700042963,0,180.815567,11960,11956,167,7.809003928
8017,20.8386,84,20.83959,83.99791,360.3264375,311,94,1321,5.396116112,2.278610945,0,180.815567,104400,118487.6,98,5.20460611
8018,20.2558,85.1867,20.25624,85.19793,160.0807901,129,52,781,9.113540979,2.803431034,0,93.58392334,1282,1338.9,55,4.515344345
8019,22.3583,82.6875,22.36038,82.68958,515.9564444,502,264,1116,7.067879868,4.237790108,0,138.608902,7700,8021.3,277,7.507557905
8020,21.2361,81.2472,21.23541,81.24788,350.4945645,341,271,759,2.734976933,1.686703444,0,75.24497986,6990,7097.7,280,2.638273997
8021,21.9864,83.2042,21.98544,83.20623,461.9137609,392,211,1147,7.648566812,3.602800131,0,121.7013779,4625,4780.7,219,7.858927267
8022,20.6567,82.0389,20.65625,82.03543,471.0299534,417,314,929,7.273994686,3.790394545,0,103.8763199,1276,1344.8,332,7.534897984
8023,23.2036,82.2172,23.20624,82.21876,668.1544332,684,419,1046,5.76987321,4.237790108,0,87.34147644,1100,1026,425,7.750810007
8024,21.875,84.3772,21.87295,84.41877,397.0072297,342,243,816,12.42760134,6.854016304,0,90.14202881,406,417.9,256,11.56749166
8025,21.0158,83.1031,21.01456,83.10625,288.6719503,274,172,1005,4.845609324,2.301902294,0,143.5631409,2420,2462.7,178,2.967661826
8026,20.3433,85.3111,20.34788,85.31036,353.7197628,307,29,1321,6.085502808,2.414991856,0,180.815567,132750,131360.5,42,5.590354422
8027,21.7728,84.0817,21.77291,84.08125,330.2048547,288,193,816,8.140627184,3.622487545,0,90.14202881,2120,2993.3,196,6.934047755
