gauge_id,water_frac,trees_frac,flooded_veg_frac,crops_frac,built_area_frac,bare_frac,range_frac,dom_land_cover,dom_land_cover_frac,lai_mean,lai_min,lai_max,lai_diff
16013,0.006815,0.710356,0.001548,0.107396,0.012642,0.000012,0.161232,trees,0.710356,1.834,0.647,7.263,6.616
16014,0.011816,0.387017,0.001694,0.323728,0.020601,0.001046,0.254098,trees,0.387017,1.371,0.278,3.830,3.552
16015,0.001962,0.037837,0.000006,0.620084,0.025970,0.000325,0.313816,crops,0.620084,0.783,0.435,1.858,1.423
17001,0.000240,0.400223,0.000000,0.203708,0.016355,0.000041,0.379432,trees,0.400223,1.711,0.512,4.828,4.317
17002,0.002954,0.139623,0.000090,0.477649,0.096585,0.000811,0.282287,crops,0.477649,0.886,0.439,7.690,7.252
17003,0.004282,0.040242,0.000086,0.555079,0.095488,0.000747,0.304076,crops,0.555079,0.740,0.448,7.513,7.065
17004,0.001803,0.028767,0.000000,0.589365,0.080807,0.000070,0.299188,crops,0.589365,0.775,0.513,1.189,0.676
17005,0.005734,0.140568,0.000886,0.528798,0.091356,0.001066,0.231593,crops,0.528798,0.925,0.387,7.690,7.303
17006,0.006334,0.060270,0.000400,0.481072,0.235889,0.002425,0.213610,crops,0.481072,0.736,0.239,1.752,1.513
17007,0.005023,0.135780,0.000096,0.612419,0.091453,0.000154,0.155073,crops,0.612419,0.883,0.313,8.034,7.721
17008,0.000010,0.332900,0.000000,0.373253,0.027649,0.000000,0.266188,crops,0.373253,1.435,0.836,2.524,1.688
17009,0.002797,0.171212,0.000125,0.624735,0.064506,0.000826,0.135799,crops,0.624735,1.040,0.435,7.325,6.889
17010,0.009256,0.042904,0.000107,0.808029,0.114993,0.000000,0.024710,crops,0.808029,0.806,0.644,2.237,1.593
17011,0.015928,0.185397,0.000036,0.564966,0.082243,0.000294,0.151136,crops,0.564966,1.142,0.339,4.852,4.514
17012,0.017376,0.225808,0.001011,0.357660,0.062993,0.002680,0.332473,crops,0.357660,1.125,0.418,7.673,7.255
17013,0.003531,0.130728,0.000016,0.450759,0.076195,0.000420,0.338350,crops,0.450759,0.888,0.570,7.426,6.856
17014,0.026202,0.302168,0.000260,0.406564,0.021901,0.000378,0.242526,crops,0.406564,1.205,0.395,7.435,7.039
17015,0.005772,0.288377,0.000075,0.408172,0.072676,0.000780,0.224148,crops,0.408172,1.345,0.349,5.149,4.801
17016,0.001686,0.008438,0.000000,0.805426,0.082845,0.000954,0.100650,crops,0.805426,0.888,0.574,1.384,0.810
17017,0.010249,0.240682,0.002432,0.467712,0.056629,0.001722,0.220573,crops,0.467712,1.051,0.502,4.501,3.999
17018,0.007048,0.035667,0.000541,0.461340,0.316204,0.004718,0.174482,crops,0.461340,0.692,0.239,1.512,1.273
17019,0.003089,0.347014,0.000021,0.376144,0.054565,0.000026,0.219141,crops,0.376144,1.491,0.448,4.788,4.340
17020,0.003951,0.002788,0.000000,0.759748,0.064041,0.000109,0.169364,crops,0.759748,0.806,0.552,1.214,0.661
17021,0.003260,0.114242,0.000021,0.484908,0.078028,0.000610,0.318931,crops,0.484908,0.870,0.528,7.426,6.898
17022,0.005507,0.150185,0.000177,0.465241,0.181401,0.001119,0.196369,crops,0.465241,0.914,0.239,7.552,7.313
17023,0.012224,0.277147,0.000038,0.258203,0.070479,0.000586,0.381323,rangeland,0.381323,1.224,0.418,7.673,7.255
17024,0.005447,0.135400,0.000175,0.502966,0.168728,0.001141,0.186142,crops,0.502966,0.904,0.239,7.552,7.313
17025,0.002190,0.329492,0.000005,0.485748,0.040643,0.000114,0.141808,crops,0.485748,1.364,0.524,7.325,6.801
